essential,필수적인
invest,투자하다
focus,집중하다|초점
impious,불경스러운
recalcitrant,반항하는|고집 센
unless,~하지 않는다면
solidify,굳히다|확고히 하다
framework,틀|체계
appeal,호소하다|매력
abnegation,자제|금욕
confess,고백하다
threaten,위협하다
eager,열렬한
sensitive,민감한
except,~을 제외하고
provincial,지방의|편협한
induce,유도하다|설득하다
refuse,거절하다
evacuate,대피시키다
vision,시력|비전
opaque,불투명한|이해하기 어려운
clarify,명확히 하다
satisfy,만족시키다
philosophy,철학
warranty,보증
neglect,무시하다|태만
assess,평가하다
atone,속죄하다
shock,충격|충격을 주다
reluctant,꺼리는
notably,특히|현저하게
manage,관리하다|간신히 해내다
assembly,집회|조립
recondite,난해한|심오한
aversion,혐오|반감
boundary,경계
accomplish,성취하다
soar,솟아오르다|급증하다
theme,주제
target,목표|대상