motivate,동기를 부여하다
vex,성가시게 하다|괴롭히다
synthetic,합성의
furthermore,게다가
warrant,영장|정당화하다
prodigal,낭비하는|아낌없이 주는
impact,영향|충돌
conjecture,추측|추측하다
convince,납득시키다|설득하다
laudatory,칭찬하는|찬양하는
scathing,통렬한|신랄한
vanish,사라지다
whole,전체의
detail,세부사항
control,통제하다|통제
certain,확실한|어떤
viable,실행 가능한|생존 가능한
admonish,꾸짖다|충고하다
indiscriminate,무차별적인
parsimony,인색함
opposite,반대의|반대
gentle,온화한|부드러운
repeat,반복하다
judicious,현명한|분별력 있는
succession,연속|계승
recognize,인식하다|알아보다
score,점수|득점하다
ominous,불길한|징조가 나쁜
infrastructure,사회 기반 시설
option,선택권
apprehend,파악하다|체포하다
volunteer,자원봉사자|자원하다
measure,측정하다|조치
mechanism,기계 장치|구조
network,네트워크|연결망
rival,경쟁자|경쟁하는
levity,경솔|경박함
exhibit,전시하다|전시품
legal,법적인
impromptu,즉흥적인