subtle,미묘한|섬세한
inspire,영감을 주다
quote,인용하다|인용문
attribute,속성|~의 탓으로 돌리다
slander,비방|비방하다
purchase,구매하다|구매
waver,흔들리다|망설이다
confluence,합류|집합
skeptical,회의적인
elaborate,정교한|정교하게 만들다
confidence,자신감
accelerate,가속하다
heresy,이단
conceive,상상하다|고안하다
fabricate,제작하다|위조하다
vocation,천직|직업
actual,실제의|진짜의
precarious,불안정한|위태로운
unite,통합하다
concept,개념
interfere,간섭하다|방해하다
proper,적절한
outside,바깥쪽|외부의
convenient,편리한
comprehend,이해하다
craven,겁 많은|비겁한
benefit,이익|혜택
tradition,전통
steal,훔치다
appraisal,평가|감정
enthrall,매료시키다
rather,오히려|차라리
supply,공급하다|공급
tend,~하는 경향이 있다
competent,유능한
seldom,좀처럼 ~않는
obstacle,장애물
expedient,편의적인|적절한
fidelity,충실|정확도
cultivate,경작하다|계발하다