staid,차분한|진지한
demagogue,선동 정치가
facetious,우스꽝스러운|경박한
objection,반대
ancient,고대의
strengthen,강화하다
charlatan,사기꾼|돌팔이
discrepancy,불일치|모순
treat,다루다|치료하다
presumptuous,주제넘은|건방진
enervate,기력을 약화시키다
communal,공동의|공유의
integrate,통합하다
upright,똑바로 선|정직한
integrity,청렴|온전함
juxtapose,병치하다|나란히 놓다
grateful,감사하는
label,라벨|꼬리표를 붙이다
destroy,파괴하다
profane,신성 모독적인|세속적인
zealous,열심인|열광적인
insipid,무미건조한|재미없는
ablution,목욕|세정식
tedious,지루한|장황한
rally,집회|결집하다
augment,증가시키다|증대시키다
abrogate,폐지하다
entity,실체|존재
fallacy,오류|착각
decrease,감소하다|감소
regard,간주하다|관심
silence,침묵
excitement,흥분
attend,참석하다|주의를 기울이다
deserve,~할 자격이 있다
sanguine,낙관적인
ingredient,재료|구성 요소
encourage,격려하다
illuminate,비추다|설명하다
situation,상황