incoherent,일관성 없는
standard,기준|표준의
stereotype,고정관념
debacle,대실패|붕괴
center,중앙|중심
prudent,신중한
recipient,수령인|받는 사람
loan,대출|빌려주다
hinder,방해하다
amaze,깜짝 놀라게 하다
stadium,경기장
sustain,유지하다|지탱하다
protocol,규약|의정서
ultimate,궁극적인
quandary,곤경|진퇴양난
indolence,게으름|나태
lithe,유연한
routine,일상적인|일상
decline,감소하다|거절하다
obfuscate,혼란스럽게 하다|애매하게 하다
gradually,점차적으로
expense,비용
category,범주|분류
present,선물|현재|제시하다
uniform,제복|균일한
onerous,부담되는|힘든
concur,동의하다|일치하다
harangue,장광설|열변을 토하다
scope,범위
horrible,끔찍한
effect,효과|영향
property,재산|특성
odd,이상한|홀수의
routine,일상
degenerate,퇴보하다|타락한
relevant,관련된
remedy,치료법|해결책
allege,주장하다|단언하다
sagacious,현명한|영리한
uphold,지지하다|옹호하다