legislate,입법하다
anoint,기름을 바르다|지정하다
loathe,몹시 싫어하다
converge,모여들다|집중하다
irony,아이러니|반어
guard,지키다|경비원
preserve,보존하다
community,지역사회
tenacious,끈기 있는|고집 센
coerce,강제하다|강요하다
offer,제공하다|제안
currency,통화|화폐
innocuous,무해한
attack,공격하다|공격
dearth,부족|결핍
adroit,능숙한|솜씨 좋은
frustrate,좌절시키다
succinct,간결한
witness,목격하다|증인
complement,보완하다|보완물
verdict,평결|판정
official,공식적인|공무원
sense,감각|의미
source,근원|출처
prevent,막다|예방하다
word,단어|약속
involve,포함하다|관련시키다
remark,말하다|논평
calamity,재앙|불행
suffer,고통 받다
clandestine,비밀의|은밀한
realize,깨닫다|실현하다
stress,스트레스|강조하다
recruit,모집하다|신입사원
proceed,진행하다
insist,주장하다|고집하다
haphazard,무계획적인|되는 대로의
qualify,자격을 얻다
incident,사건
grave,무덤|심각한